model,pretrained,dataset,prompt_id,prompt_template,method,n_samples,accuracy,ece,nll,brier,aurc,risk_at_80
ViT-B-32,openai,CIFAR-10.1-v6,p00,a photo of a {label}.,single,2000,0.8285,0.0575101746842265,0.5333722960251949,0.24598756147117168,0.03856452048383606,0.08
ViT-B-32,openai,CIFAR-10.1-v6,p01,a photograph depicting {label}.,single,2000,0.84,0.08693049255758523,0.5265491162967039,0.23921406231133407,0.03713806590332732,0.07625
ViT-B-32,openai,CIFAR-10.1-v6,p02,an image of the object {label}.,single,2000,0.837,0.11553177370131017,0.5772540148351318,0.2582072208718736,0.03978720117016612,0.0825
ViT-B-32,openai,CIFAR-10.1-v6,p03,a picture showing {label}.,single,2000,0.8365,0.06181004613637925,0.5093478724003548,0.23728367819477642,0.0372891491921902,0.078125
ViT-B-32,openai,CIFAR-10.1-v6,p04,this image shows {label}.,single,2000,0.8325,0.06754018287360664,0.5265954225804566,0.24296750212851845,0.037595715445362575,0.07625
ViT-B-32,openai,CIFAR-10.1-v6,p05,the main subject in this image is {label}.,single,2000,0.8285,0.11347757209837432,0.5772429104048405,0.2606512134007139,0.04057991648887958,0.08
ViT-B-32,openai,CIFAR-10.1-v6,p06,the object depicted here is {label}.,single,2000,0.829,0.1428129547908902,0.6189877458787789,0.2732926804883458,0.04202427027074376,0.0875
ViT-B-32,openai,CIFAR-10.1-v6,p07,a visual representation of {label}.,single,2000,0.813,0.10917309907078744,0.635991260667546,0.27999791856289813,0.04642552052417251,0.095625
ViT-B-32,openai,CIFAR-10.1-v6,p08,an example image of the class {label}.,single,2000,0.8,0.10962401353567838,0.6872084407917646,0.3010464609899948,0.05251403645618594,0.105
ViT-B-32,openai,CIFAR-10.1-v6,p09,this picture contains {label}.,single,2000,0.818,0.09715082858502865,0.583538103330584,0.2621732757378033,0.04236360171663835,0.08875
ViT-B-32,openai,CIFAR-10.1-v6,p10,a natural image containing {label}.,single,2000,0.819,0.061832988947629904,0.5853175856113639,0.26341545834710695,0.04305017757839872,0.0925
ViT-B-32,openai,CIFAR-10.1-v6,p11,"{label}, shown in a photograph.",single,2000,0.8315,0.07729049061238764,0.5355001187794383,0.2456928146406968,0.03985711744625254,0.08125
ViT-B-32,openai,CIFAR-10.1-v6,ensemble,mean probability across 12 prompts,ensemble,2000,0.8425,0.11533762247860431,0.549868437849859,0.24515898484503634,0.03544043066904654,0.07375
RN50,openai,CIFAR-10.1-v6,p00,a photo of a {label}.,single,2000,0.6235,0.06680029151588679,1.0507019893288057,0.4935947028679613,0.17365456692717984,0.294375
RN50,openai,CIFAR-10.1-v6,p01,a photograph depicting {label}.,single,2000,0.6245,0.07180908074229955,1.1062006124440271,0.5102641715018367,0.18262057214729996,0.3025
RN50,openai,CIFAR-10.1-v6,p02,an image of the object {label}.,single,2000,0.608,0.09941142489761114,1.1189747362090254,0.5131774708160657,0.17917040053727146,0.306875
RN50,openai,CIFAR-10.1-v6,p03,a picture showing {label}.,single,2000,0.6205,0.0636745847016573,1.0620601382317048,0.4994232816556346,0.17779659385882793,0.296875
RN50,openai,CIFAR-10.1-v6,p04,this image shows {label}.,single,2000,0.6365,0.08992313650995495,1.0377970467505861,0.48426820779916374,0.1629588944118751,0.278125
RN50,openai,CIFAR-10.1-v6,p05,the main subject in this image is {label}.,single,2000,0.6315,0.13825525256991386,1.1053725424524763,0.5102981868487038,0.1753577202524428,0.28375
RN50,openai,CIFAR-10.1-v6,p06,the object depicted here is {label}.,single,2000,0.639,0.19670114137977357,1.1881431781670144,0.5339232077903449,0.17021760880873157,0.275
RN50,openai,CIFAR-10.1-v6,p07,a visual representation of {label}.,single,2000,0.56,0.06530437166243791,1.1897789174806008,0.5511977479666086,0.22571956748573951,0.354375
RN50,openai,CIFAR-10.1-v6,p08,an example image of the class {label}.,single,2000,0.605,0.0798409802466631,1.1224729779053122,0.5128533656769857,0.18248101121552612,0.305
RN50,openai,CIFAR-10.1-v6,p09,this picture contains {label}.,single,2000,0.609,0.08655444581061601,1.1125008348408643,0.5142360089613205,0.18322617638289743,0.305625
RN50,openai,CIFAR-10.1-v6,p10,a natural image containing {label}.,single,2000,0.626,0.09766774948686362,1.085386328284002,0.5002071756688469,0.16917443792317005,0.290625
RN50,openai,CIFAR-10.1-v6,p11,"{label}, shown in a photograph.",single,2000,0.574,0.029043461687862867,1.1443899028160611,0.5373451177875527,0.2091410815420749,0.35375
RN50,openai,CIFAR-10.1-v6,ensemble,mean probability across 12 prompts,ensemble,2000,0.643,0.13083008828759193,1.0674746698416897,0.4939219942308433,0.1626093121150285,0.276875
