model,pretrained,corruption,severity,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,ece_mean,ece_std,ece_min,ece_max,nll_mean,nll_std,nll_min,nll_max,brier_mean,brier_std,brier_min,brier_max,aurc_mean,aurc_std,aurc_min,aurc_max,risk_at_80_mean,risk_at_80_std,risk_at_80_min,risk_at_80_max
RN50,openai,brightness,1,0.6889916666666666,0.025397546708055867,0.6414,0.7231,0.09688749885503199,0.047844115930709995,0.0360423291534185,0.213921569340676,0.9046531291694809,0.04563188389014376,0.8392471361190139,0.9847932070413968,0.42329372183765507,0.020200959052422997,0.3952492609935916,0.4641007543865769,0.11645874447674653,0.015078667859274936,0.1021998423011372,0.1496934713484042,0.22154166666666666,0.024474960147923105,0.189875,0.267375
RN50,openai,brightness,2,0.6763833333333333,0.02872739691189117,0.6243,0.7197,0.09506401806262631,0.050551198341971804,0.038416799378395,0.2219274271309376,0.9359405076101709,0.045956300175654545,0.867927150063652,1.0140818007171546,0.43713507085352893,0.021027316387708963,0.4086415921031475,0.4777539610229003,0.12480752284158488,0.017587736851097498,0.1045900335567214,0.1613148359321627,0.23464583333333333,0.027864874502868404,0.19525,0.285375
RN50,openai,brightness,3,0.6543583333333333,0.03203768968895949,0.5961,0.7048,0.08937162479050453,0.05212374524924449,0.0453030010223388,0.2231479670166969,0.9866924365072172,0.04757545600155253,0.915219719690542,1.0615211768104982,0.45943476110081344,0.02243814522424458,0.4303353350368545,0.5014953319979745,0.1390463142797927,0.020541231572601668,0.1124960393717977,0.178700859697315,0.25703125,0.032694093720495525,0.208875,0.3155
RN50,openai,brightness,4,0.6266416666666667,0.036590894504043785,0.5628,0.6875,0.08591118859375509,0.05414877835913335,0.0404229047358035,0.2270233928218483,1.0512686972567353,0.051301930967639665,0.9750649819180648,1.134116121004249,0.48751119158897677,0.02457739018730374,0.457615085491528,0.5366845029179883,0.15813409269915707,0.02457455804302454,0.1238881797154834,0.2025328891599726,0.28630208333333335,0.03795270151232101,0.22625,0.354
RN50,openai,brightness,5,0.5523333333333333,0.04193599741019495,0.4781,0.6252,0.0724191494354357,0.054260346047843314,0.018329552231729,0.2108118573874235,1.2238012775064793,0.06387761937005268,1.139640353430451,1.3419394579723585,0.5603864220712093,0.02991451007027543,0.5214887962248801,0.6249191690877729,0.2191716949482491,0.0337125871658759,0.1688804988255735,0.2773410117473907,0.3675,0.04690533866687827,0.29025,0.451125
RN50,openai,contrast,1,0.6928666666666666,0.027941768452308502,0.6341,0.7264,0.10591792071536178,0.046626988407154284,0.0363635267525911,0.2105409500598907,0.9097764577423572,0.05005514681266098,0.8367162110581808,0.9902421620241384,0.42380649700645434,0.022338324605540274,0.3927198186310613,0.4608558366138446,0.11451371971389057,0.0155974554433952,0.0970068887682441,0.1450720295841136,0.21771875,0.026335797287152716,0.187875,0.272125
RN50,openai,contrast,2,0.6230583333333334,0.038161319262818814,0.5382,0.6657,0.09798575093553706,0.04820831803274203,0.0404941551864147,0.2115199163265526,1.079667212069594,0.06510555174244702,0.9889544150001583,1.202505293191939,0.4970105454704403,0.030319421519843917,0.4599203658298295,0.5645261553742983,0.16259305394015025,0.026424379971040246,0.1338541810630414,0.2217766430135339,0.2893645833333333,0.04065334529779212,0.24825,0.38275
RN50,openai,contrast,3,0.5599083333333333,0.044913866219552734,0.4592,0.6176,0.0898745206986243,0.05130918544725936,0.0169518417209386,0.2072678684324026,1.232343825787282,0.08169467025498264,1.1297188822608817,1.4151902008267605,0.5594975820589251,0.037543102186216974,0.5187110609573728,0.6518281365967996,0.21295904793936912,0.036609659759858124,0.1773184264068202,0.2958621311224573,0.3583958333333333,0.04901631318585,0.30025,0.4715
RN50,openai,contrast,4,0.46681666666666666,0.04987742855027591,0.3611,0.5361,0.09035388152468944,0.0510258203057214,0.0484133269608021,0.200943822415173,1.4662330219594446,0.11085541447407804,1.3500780049946954,1.7432991437093834,0.6484928878045415,0.04760540747598248,0.60478879185339,0.773236422450994,0.299231838481511,0.04933895936385561,0.249608700631117,0.4069342917290505,0.46282291666666664,0.05580041183695907,0.392625,0.587125
RN50,openai,contrast,5,0.25055,0.02914133272050668,0.1969,0.2945,0.1256830874521285,0.08347201832099237,0.0510875372722744,0.3361853033915162,2.061679661216202,0.18098564991413155,1.8937735567402043,2.5327616392403014,0.8417669787853752,0.06143006086361812,0.7874059514928093,1.0065617217696614,0.5701441623316746,0.044716515370668425,0.511647674057172,0.652878585714761,0.7117708333333334,0.03458018651254537,0.664375,0.776
RN50,openai,defocus_blur,1,0.677725,0.026248744558723006,0.6288,0.7099,0.09568721409526959,0.047632350556360344,0.0298479869186878,0.2076582548245787,0.9426604058101451,0.04673237226241404,0.8746282913654537,1.020086974873264,0.4396123303594878,0.020526677975421726,0.4098911692112879,0.4772421570843705,0.1261055940859583,0.015792850616206774,0.1096957550597187,0.1576522199688446,0.2345625,0.024353078720806904,0.2075,0.279375
RN50,openai,defocus_blur,2,0.6230749999999999,0.03208358756294395,0.5599,0.6642,0.08465345439308629,0.0491561916872107,0.044089116795361,0.2056214172475039,1.0738667138697953,0.05024771061746962,0.9985532459838404,1.1493372585483128,0.49727446585545687,0.022926550151245704,0.4647497264734997,0.5421437860906356,0.1670650439459179,0.02176820312866796,0.1443175386042361,0.2080290354476202,0.293375,0.03242158371994019,0.25425,0.356875
RN50,openai,defocus_blur,3,0.5435416666666667,0.04322353017288224,0.4646,0.6114,0.07615990193306155,0.055491993285559794,0.0179719774261117,0.2115762105636299,1.2640212594825513,0.06255765146507886,1.1744914018858752,1.382992470518625,0.5773942856332064,0.028958751119367496,0.5400803688360742,0.6419539322048611,0.2361282100279614,0.03322198522441666,0.1917898002219601,0.2991209256446592,0.3815104166666667,0.04480524327364606,0.310375,0.46625
RN50,openai,defocus_blur,4,0.4563083333333333,0.0505853456741149,0.3693,0.5369,0.07966301222319401,0.052275464627647907,0.0311961952999234,0.1998002675898373,1.4837713137013235,0.08285425267799704,1.3770288469252896,1.6522792226465235,0.6622525483472129,0.03623054416580663,0.6199847508999411,0.7436174348830676,0.32745303574440227,0.0480211034783778,0.2645565454630812,0.4114531377421237,0.4800729166666667,0.05464200271928402,0.3945,0.5805
RN50,openai,defocus_blur,5,0.333625,0.060838058139472344,0.2431,0.4302,0.09803205453560992,0.06310153652981454,0.0332852404594421,0.2342237771615385,1.8012734075423467,0.12424268919445564,1.6682047281857737,2.0463698618583304,0.7739481421811655,0.04764352537486526,0.7255323010111756,0.8775540701851896,0.4881049799202983,0.07147437794230271,0.3967050368480339,0.5856063023997315,0.6230104166666667,0.06816293685848814,0.518875,0.721
RN50,openai,elastic_transform,1,0.551225,0.03837046982440342,0.478,0.6116,0.06671973690316077,0.05282348033172931,0.0191415305316448,0.1986603066638112,1.2457990051721397,0.058682443109503796,1.159918616955987,1.3578666105073578,0.5712186694941289,0.026840706505732375,0.5366718376111875,0.6311906806516115,0.2341998063032682,0.03060850652909239,0.1908315583751074,0.2919472310448608,0.3735208333333333,0.041116721097235825,0.30975,0.453625
RN50,openai,elastic_transform,2,0.5553416666666667,0.03672089963082291,0.4847,0.6091,0.06889816080126906,0.050864573368879486,0.0163824703201651,0.1938118407972157,1.2416748663882837,0.05679958570747841,1.1590165615474184,1.3511846479582803,0.5669046807681921,0.025997071136772538,0.5329790677358829,0.6243375520844844,0.22719644418794407,0.029193603866540574,0.1894153359270776,0.2831949277166974,0.36665624999999996,0.03819734659543536,0.310875,0.442125
RN50,openai,elastic_transform,3,0.49219166666666664,0.043357319992934254,0.4139,0.5617,0.06299418329199151,0.05233486738154207,0.0141241707444191,0.186617987461388,1.3847113795153871,0.06900018961434823,1.290702703400412,1.5068502689624543,0.6274715959734634,0.030370960379645828,0.5908598803221617,0.6943492358571101,0.2931390730596533,0.037350037124552087,0.2364896013960041,0.3614545871255371,0.44028125,0.04705648579222247,0.36325,0.52825
RN50,openai,elastic_transform,4,0.3991,0.04407967991964304,0.3261,0.4636,0.06236445217014596,0.04628701876205479,0.0224968673110008,0.1554292901396751,1.6717545011355177,0.12280064864145186,1.5436157006750144,1.9393626086580684,0.7193060280375185,0.03494446697273707,0.6817263120312602,0.7834426065470332,0.4017029162559707,0.04777922122743263,0.3368218715353098,0.4849194769927663,0.5442083333333333,0.0495304467122512,0.471875,0.6335
RN50,openai,elastic_transform,5,0.3285666666666667,0.036398384912553795,0.269,0.3743,0.07564802205258356,0.042721422662345916,0.0238889075733721,0.1816735204219818,1.9410071799999171,0.16461161305490993,1.7656887482603092,2.3026317095002256,0.7880719053263227,0.033401224907628826,0.7475710741986958,0.8477300468252582,0.49693517178756247,0.04735800097428176,0.4419730589130071,0.5739124080191574,0.6243333333333333,0.04141346170759046,0.572125,0.693125
RN50,openai,fog,1,0.6952083333333333,0.024450003098469168,0.6466,0.7238,0.10110172744374718,0.04589906802622318,0.0310202267095446,0.2057948589175939,0.8994387964682397,0.048441555596440235,0.830237221587565,0.9829631425379336,0.4195496505375829,0.02104566122549575,0.390053887550124,0.4555484034446452,0.1131380799270744,0.014119299552241936,0.0980080107991219,0.1401094498697002,0.21501041666666665,0.022883937544441044,0.1925,0.25875
RN50,openai,fog,2,0.66825,0.029739398416609178,0.6084,0.6994,0.10032555646710095,0.04730684870400117,0.0409503295645117,0.21204288071841,0.9734890071768952,0.055106270252015185,0.8944769247611295,1.0484520397195392,0.4514255197880135,0.024379053701372774,0.4185240208388947,0.4939733967109178,0.13234133826394676,0.018211002851825024,0.1113753646675106,0.167916898199685,0.24383333333333335,0.029093419931890657,0.212875,0.305
RN50,openai,fog,3,0.6263833333333334,0.033405329823339006,0.5599,0.6644,0.08946009429978824,0.048153986791824,0.0326537181586027,0.2063578297749161,1.0729054673613871,0.06285020043972593,0.9846943018349236,1.1729018657408328,0.4937518984219296,0.027503238221840615,0.4582131360205598,0.5460306735979404,0.16171016348214465,0.023204712791164494,0.1346187841986651,0.2070381988146132,0.28781249999999997,0.03485414006320418,0.2495,0.355375
RN50,openai,fog,4,0.5682666666666667,0.036974643235929174,0.5034,0.6162,0.07498961428217588,0.046644083632886905,0.022724579590559,0.1938431851506233,1.2157676721348596,0.0761679503455223,1.1150207665434402,1.3479455307244597,0.5520447392243062,0.031547519511716554,0.5126885938348656,0.615307737859821,0.20838336786472542,0.029686480690467514,0.1726467118586183,0.2633059851378313,0.3504583333333333,0.03959641330941096,0.300875,0.4225
RN50,openai,fog,5,0.43261666666666665,0.041659678201815105,0.3679,0.4872,0.06939738643156981,0.04310863008415306,0.031742531453073,0.1634177692741155,1.5846321139326145,0.12067341141027002,1.440791810680961,1.798095533373912,0.6876073141616795,0.040229149827422504,0.6399408054550901,0.7714313281314651,0.3481359530708857,0.04486193441618126,0.2955090828788524,0.4248545165950335,0.5053020833333334,0.04798142568926273,0.444625,0.58075
RN50,openai,frost,1,0.6377916666666666,0.03165123746922596,0.5817,0.6815,0.08881041517928238,0.051498671844243955,0.0442077950313687,0.2167861050516367,1.0348834033503664,0.05088089145313952,0.9584713818730124,1.113710286229149,0.479397328125311,0.02293498262572596,0.4487915205510593,0.5213705312212972,0.15322300479495646,0.02080892529033672,0.1318416807165479,0.1978140253996886,0.2771770833333333,0.03217143612093394,0.235875,0.336875
RN50,openai,frost,2,0.5775083333333334,0.036652829689430844,0.5116,0.6396,0.07668533202689136,0.05358459549108554,0.0278163406848907,0.2164280374512076,1.1798594582374575,0.05712965714974772,1.095368601332584,1.2969540738996126,0.5398524056576832,0.025803410991926203,0.5086254119884359,0.5960278212782909,0.20057454090468738,0.02779574740162318,0.1640688794015841,0.2529674477810048,0.34186458333333336,0.04006133289086153,0.2775,0.41325
RN50,openai,frost,3,0.5196416666666667,0.03760632099511834,0.4485,0.5821,0.0722362709132954,0.049301300475813006,0.0184235160782933,0.197031804960221,1.3347049653407774,0.0733033221770732,1.2368200246168652,1.512779702926199,0.5994481481277606,0.03182189009124631,0.5636276990337818,0.6781940054565279,0.2529649050598706,0.03554612844166712,0.2108250042033219,0.3261247690866543,0.4047395833333333,0.043503280255544216,0.33675,0.490625
RN50,openai,frost,4,0.523025,0.03890359004233181,0.4434,0.5821,0.07364253124066934,0.04983145696782312,0.0237741691127419,0.1957030278883874,1.3239721360945393,0.0787172058574498,1.2203579184743754,1.5166920944618545,0.5955193298102881,0.03412834155634901,0.5572112322522447,0.681381021213706,0.2507627214849472,0.03674406028861526,0.2097797652365804,0.3310312673685044,0.4023125,0.044228053751395886,0.337375,0.495
RN50,openai,frost,5,0.47242500000000004,0.04072107171745584,0.387,0.5322,0.07540590631440276,0.04929489120459169,0.0326880858987569,0.1807528287738561,1.4642817456900152,0.09984537965688772,1.3462195559348626,1.71965659485044,0.6467674286972748,0.0410344270046607,0.6050020352742665,0.7549373337098656,0.30303363629282853,0.04507853933320464,0.2555294169161384,0.4071199475201688,0.45940625,0.04808545083896338,0.394,0.56225
RN50,openai,gaussian_noise,1,0.4134,0.02836979828171951,0.352,0.4541,0.06270880299260213,0.045017994303418775,0.0214962183415889,0.1822861666202545,1.6155183859892164,0.09917833498136241,1.5113886408867268,1.8828201753735003,0.6953425313534792,0.033556227752425644,0.6608694950964255,0.7911933841973733,0.35778421687333584,0.03079425282236549,0.3124967485333295,0.4316791043952329,0.5245104166666666,0.034064838674232906,0.47725,0.604
RN50,openai,gaussian_noise,2,0.28650000000000003,0.024509033585042223,0.2311,0.3224,0.08201335878272846,0.06071273641218519,0.0215712226018309,0.2558158028811216,1.973893091023709,0.1439513794726106,1.81422613687571,2.3131236987252595,0.808652822278483,0.03996540942062657,0.7659057565003821,0.9170513930106932,0.5281249699402604,0.03482395186539342,0.4806413146303872,0.6108238372484225,0.6735833333333333,0.030353192383648676,0.632375,0.747625
RN50,openai,gaussian_noise,3,0.21199166666666666,0.022483588290667548,0.1664,0.242,0.107761611702914,0.07211882249635325,0.0430094696193933,0.3090462841153145,2.2290496751106468,0.18537317508158405,2.012530005736662,2.6347971928844927,0.8735688539451427,0.046957616257534765,0.8283600100992619,1.000047642574503,0.6489934347125985,0.04009327812870294,0.6048499420649025,0.7370173777515462,0.7619270833333333,0.027750279397310354,0.72725,0.823125
RN50,openai,gaussian_noise,4,0.187175,0.022972320300744548,0.1428,0.2208,0.11967629311233757,0.07837748375248307,0.0481746124640107,0.3361048926353455,2.3299820450462243,0.20458960090712633,2.0922806785576253,2.7696642321802107,0.8964292850298659,0.04977183296066644,0.8515290998465629,1.031240917897644,0.6964330545704712,0.04094249410152257,0.6394699042946403,0.7802206282001666,0.790625,0.02766207405291748,0.751625,0.848125
RN50,openai,gaussian_noise,5,0.166725,0.0218327162762676,0.1299,0.2062,0.13227109717677032,0.08041312699012576,0.0525235503748059,0.3501996360108256,2.4070066421986667,0.2187714430165857,2.1575018662314016,2.8691502527937307,0.9132498307523432,0.05129624455423733,0.8686583970715405,1.0528455548815283,0.7348193073584436,0.04001945226797546,0.6641750120492635,0.807724454000072,0.8143854166666666,0.026299545144557256,0.767,0.862125
RN50,openai,glass_blur,1,0.31965000000000005,0.0394356898806606,0.2448,0.3663,0.08462251094455515,0.055416681953054,0.0347035326525569,0.2366571140781045,1.9426740472870392,0.15999414920204413,1.7552124921628125,2.2713294806505355,0.7946254661780291,0.04317363556116786,0.7463095282536629,0.903125232217838,0.5082674704362288,0.06249095519372551,0.431634011911239,0.6238895599311564,0.6379374999999999,0.04891285444078536,0.58325,0.73075
RN50,openai,glass_blur,2,0.31024999999999997,0.03916831975879579,0.2388,0.3567,0.08904397765683626,0.0592787770476908,0.0324104221791029,0.2435455464199185,1.973824421171357,0.16260386371719884,1.7832926763778538,2.3053521918661724,0.8029600973404759,0.04281916055596551,0.7562862944112945,0.9097493604841352,0.5207385133501695,0.060015588325382806,0.4498372310927973,0.626767658564098,0.6497395833333334,0.04746668862851146,0.5935,0.735375
RN50,openai,glass_blur,3,0.292225,0.038297427518639626,0.2261,0.3421,0.09950459205328173,0.061224868672536625,0.027417919845879,0.2555202169582247,2.009587166107294,0.1728451497372951,1.8115265876165565,2.3609202058864898,0.8141533419939188,0.044016798477288885,0.7655497517022024,0.9241069958318592,0.539723278813643,0.05925402629601979,0.4608647657595676,0.6384588103757909,0.668,0.04682568618144995,0.608375,0.74875
RN50,openai,glass_blur,4,0.23614166666666667,0.03446585816119887,0.1771,0.2829,0.12229538649395104,0.07843236794635447,0.0294709950983524,0.2999284560650587,2.2105563256257272,0.18245352716993404,2.031231319891553,2.61665445023485,0.8668113720704945,0.04597092688999582,0.8266496411068373,0.9868618018031388,0.6402613784501013,0.05876454542639067,0.5743474720436162,0.750585754423415,0.7373229166666667,0.042759816069122096,0.679625,0.8125
RN50,openai,glass_blur,5,0.22663333333333333,0.03526263366984,0.1689,0.2798,0.12464730790723111,0.07925704948123104,0.0339035998255014,0.3068145237788557,2.2163940614287987,0.18738821116591395,2.0428701256574877,2.6383420855608883,0.8713086198346573,0.046756298870326486,0.8303043738455858,0.9958518054091136,0.6520693384818949,0.05923334697539413,0.5783788454108837,0.7585620805996467,0.7478229166666667,0.04344714848150844,0.682875,0.8205
RN50,openai,impulse_noise,1,0.564,0.029909803804711994,0.4977,0.6062,0.10136293107345695,0.04081690080948526,0.0582819704934954,0.190817502272129,1.2537194794817754,0.047808893572647795,1.1972080632734865,1.3267649661919607,0.5636112460066851,0.020352669165000028,0.5376982427701108,0.5971173724637041,0.20971716689363537,0.022325402486155894,0.1863840972225035,0.257739494500485,0.3536875,0.03223737860846403,0.318875,0.426625
RN50,openai,impulse_noise,2,0.4311833333333333,0.04040636388521297,0.3711,0.4897,0.09155894253849979,0.03707315259107663,0.0471933557420969,0.1841777698539197,1.5826170845510443,0.07095629194867353,1.477980521925658,1.6930280991839637,0.6850393120404643,0.02464608266040832,0.6499514763913885,0.7219234726687666,0.3364475269243596,0.038774856097566195,0.2903797437405073,0.3961089623018113,0.5060625,0.046400660629113695,0.4435,0.579875
