model,pretrained,held_out_corruption,policy,selected_prompt_id,n_severities,accuracy,ece,nll,brier,aurc,risk_at_80
RN50,openai,brightness,default,p00,5,0.648,0.06203732323795554,0.9656005749959305,0.4523307739348009,0.13978414652534327,0.260225
RN50,openai,brightness,stability_loco,p10,5,0.6659200000000001,0.10162408004462717,0.9719445815756304,0.4479624982365597,0.12940840899740144,0.24232500000000004
RN50,openai,brightness,clean_selected,p04,5,0.6581199999999999,0.07259905550897117,0.9474198682443447,0.4445427482063963,0.13524842043301188,0.253125
RN50,openai,brightness,oracle_upper_bound,p06,5,0.69206,0.21936644273951647,1.0688391958712675,0.4800396884659829,0.12249686549571889,0.22210000000000002
RN50,openai,brightness,probability_ensemble,ensemble,5,0.65838,0.11015757100954651,0.9826561088494952,0.45562982962010334,0.1366391205054271,0.2547
RN50,openai,contrast,default,p00,5,0.53732,0.07754124216020102,1.2738407020156721,0.5643551506325537,0.2480290696022875,0.38235
RN50,openai,contrast,stability_loco,p10,5,0.54536,0.10154960446894165,1.2805209069381853,0.5650240822570639,0.24402681426984724,0.380025
RN50,openai,contrast,clean_selected,p04,5,0.54764,0.07968695143967862,1.2469822325479263,0.5560131726804168,0.24378394070179707,0.37645
RN50,openai,contrast,oracle_upper_bound,p05,5,0.5624,0.13206202794715755,1.2778333395394283,0.5636564159119267,0.23563098154223755,0.3633
RN50,openai,contrast,probability_ensemble,ensemble,5,0.52888,0.10388141379535196,1.2960004319909362,0.5744225461874894,0.25745633094889603,0.39625000000000005
RN50,openai,defocus_blur,default,p00,5,0.55122,0.052320227090716334,1.2348252845277368,0.5599201143957903,0.24014562716229287,0.373725
RN50,openai,defocus_blur,stability_loco,p10,5,0.5586,0.08318141334950918,1.2473599600892655,0.560997074707805,0.2340861537378082,0.367325
RN50,openai,defocus_blur,clean_selected,p04,5,0.56204,0.06944908554375168,1.2185813028692465,0.5520476632863958,0.23289696569718873,0.365275
RN50,openai,defocus_blur,oracle_upper_bound,p06,5,0.58992,0.198964964710623,1.3385283375074561,0.5894646594456755,0.22215517203423457,0.3371
RN50,openai,defocus_blur,probability_ensemble,ensemble,5,0.54128,0.08895090542614456,1.2628124132059013,0.5702197476592034,0.25119016292173285,0.38462500000000005
RN50,openai,elastic_transform,default,p00,5,0.4875999999999999,0.035161500749588,1.4044041123573734,0.6254512669638995,0.3018719774222828,0.442975
RN50,openai,elastic_transform,stability_loco,p10,5,0.49856000000000006,0.05444899285152548,1.4004350664315024,0.622165604640243,0.2926319818233582,0.432025
RN50,openai,elastic_transform,clean_selected,p04,5,0.49742,0.044723243277668925,1.3944013986935984,0.6209708284413256,0.29782828325146193,0.43462499999999993
RN50,openai,elastic_transform,oracle_upper_bound,p06,5,0.5240199999999999,0.16144370201945302,1.4729974325352662,0.642892779463817,0.27946426868644647,0.4058
RN50,openai,elastic_transform,probability_ensemble,ensemble,5,0.47946,0.05662390718802803,1.4371158235335628,0.6363300526202043,0.31541960897506627,0.4539250000000001
RN50,openai,fog,default,p00,5,0.62034,0.06391928025782104,1.0663685429590768,0.48921231004041593,0.1695274874926319,0.29255
RN50,openai,fog,stability_loco,p10,5,0.63194,0.09599688551872965,1.0687494898425487,0.487460591564629,0.1625831341457097,0.283175
RN50,openai,fog,clean_selected,p04,5,0.62968,0.07752973704963917,1.0555200027142893,0.4851593533983678,0.16751439003640725,0.2892
RN50,openai,fog,oracle_upper_bound,p04,5,0.62968,0.07752973704963917,1.0555200027142893,0.4851593533983678,0.16751439003640725,0.2892
RN50,openai,fog,probability_ensemble,ensemble,5,0.6171999999999999,0.10180453448325391,1.1055019968116042,0.5028190361936797,0.1758313498717926,0.30107500000000004
RN50,openai,frost,default,p00,5,0.55528,0.04399343819826838,1.2104946792694806,0.5481359814037282,0.21200577731779777,0.36025
RN50,openai,frost,stability_loco,p10,5,0.58094,0.08858703802436584,1.1949927176098252,0.5383021939267049,0.1969642852026288,0.33655
RN50,openai,frost,clean_selected,p04,5,0.56918,0.05616028895109888,1.17144749644634,0.5380947215295637,0.2075593357246288,0.351375
RN50,openai,frost,oracle_upper_bound,p06,5,0.6035,0.20134036082506174,1.2912287995891318,0.5732933566651692,0.19584403940097453,0.3163
RN50,openai,frost,probability_ensemble,ensemble,5,0.5648199999999999,0.0885383531978726,1.2161111918501173,0.5512256899238325,0.21061602643886307,0.35490000000000005
RN50,openai,gaussian_noise,default,p00,5,0.26933999999999997,0.08332982493788,2.0435238102643503,0.8156513470932045,0.5567127150939679,0.692175
RN50,openai,gaussian_noise,stability_loco,p06,5,0.2676,0.07652899679005143,2.0039949411393487,0.8173212305435813,0.5671767094638422,0.692
RN50,openai,gaussian_noise,clean_selected,p04,5,0.26848,0.06733459085911507,1.9639768063124365,0.807127926428136,0.5772786232924844,0.6990000000000001
RN50,openai,gaussian_noise,oracle_upper_bound,p10,5,0.28218,0.06097506604403252,1.921770231636911,0.7953268970802635,0.5532597577570249,0.678725
RN50,openai,gaussian_noise,probability_ensemble,ensemble,5,0.27694,0.05676009972900148,1.9887176659118488,0.806886010097859,0.5576760601039249,0.68285
RN50,openai,glass_blur,default,p00,5,0.30232000000000003,0.07303454301476472,1.9101858647302954,0.7949856826750504,0.5204013393972778,0.657
RN50,openai,glass_blur,stability_loco,p10,5,0.31632000000000005,0.05338990456745026,1.884826640341253,0.7864493017425894,0.5024402786936675,0.64155
RN50,openai,glass_blur,clean_selected,p04,5,0.29086,0.07509888728231189,1.9543897351978152,0.8030421508084709,0.5398492918426285,0.6712
RN50,openai,glass_blur,oracle_upper_bound,p06,5,0.32436,0.06949024371102448,1.9418828606647665,0.798680063021466,0.5118366780425906,0.6298750000000001
RN50,openai,glass_blur,probability_ensemble,ensemble,5,0.28286,0.06803336732864376,1.9698727693382299,0.8066817651389773,0.5515722887788573,0.679725
RN50,openai,impulse_noise,default,p00,5,0.35792,0.08031465414643284,1.7149194783210384,0.7226299362478823,0.43715779853985504,0.589275
RN50,openai,impulse_noise,stability_loco,p10,5,0.36112,0.10190579531908033,1.7276130471862836,0.7284567834649754,0.4443708985984416,0.58745
RN50,openai,impulse_noise,clean_selected,p04,5,0.3505,0.09325937571346757,1.787591592713829,0.7360721231489417,0.45345559113990686,0.598275
RN50,openai,impulse_noise,oracle_upper_bound,p05,5,0.37485999999999997,0.10124911297723646,1.7704878396974284,0.7361586948586833,0.4395944975082626,0.573775
RN50,openai,impulse_noise,probability_ensemble,ensemble,5,0.34256000000000003,0.11254474180191751,1.7804961637517807,0.7391972421793793,0.4596125856830714,0.606925
RN50,openai,jpeg_compression,default,p00,5,0.483,0.050707302635013995,1.425887722072623,0.6374890869840005,0.30597037954812906,0.449375
RN50,openai,jpeg_compression,stability_loco,p10,5,0.49217999999999995,0.08082165703281759,1.4363009774477284,0.6392857718006694,0.30274181768459985,0.4415
RN50,openai,jpeg_compression,clean_selected,p04,5,0.48412000000000005,0.05634861717313524,1.4213327764497063,0.6376858012814912,0.31038236867051094,0.45115
RN50,openai,jpeg_compression,oracle_upper_bound,p10,5,0.49217999999999995,0.08082165703281759,1.4363009774477284,0.6392857718006694,0.30274181768459985,0.4415
RN50,openai,jpeg_compression,probability_ensemble,ensemble,5,0.47978000000000004,0.08561429917842145,1.4559936424482944,0.6475798879456464,0.31089611118381777,0.4528
RN50,openai,motion_blur,default,p00,5,0.4285,0.07739355072110886,1.5044263194646765,0.684471349311641,0.3813860790225541,0.51805
RN50,openai,motion_blur,stability_loco,p10,5,0.43366,0.0654974752232432,1.5020271925073252,0.6764499118638063,0.37525130378783084,0.511275
RN50,openai,motion_blur,clean_selected,p04,5,0.42926000000000003,0.07883269438862797,1.5190521337434526,0.6875093438907784,0.38893449812492886,0.5202
RN50,openai,motion_blur,oracle_upper_bound,p06,5,0.48529999999999995,0.12051899303182956,1.5197069133114744,0.6645564902179645,0.32826818625335746,0.45454999999999995
RN50,openai,motion_blur,probability_ensemble,ensemble,5,0.40854,0.07712712306827302,1.550384132492368,0.696755299045003,0.40495683247860176,0.5381750000000001
RN50,openai,pixelate,default,p00,5,0.48410000000000003,0.068704117257297,1.4548950908456257,0.624496769056094,0.3044382476108695,0.4406
RN50,openai,pixelate,stability_loco,p10,5,0.48498,0.0698362428703904,1.4654443274323985,0.6340370683178397,0.3098816161150034,0.4422
RN50,openai,pixelate,clean_selected,p04,5,0.48638000000000003,0.06648596339076754,1.4337854959471357,0.6262551901385655,0.31377711181971424,0.446025
RN50,openai,pixelate,oracle_upper_bound,p05,5,0.5093,0.10661927798479791,1.4322465071556996,0.6228907883707575,0.295848844985808,0.42442499999999994
RN50,openai,pixelate,probability_ensemble,ensemble,5,0.50178,0.09562724878132339,1.4227468782679307,0.6187817871635419,0.29291982273419837,0.42547499999999994
RN50,openai,shot_noise,default,p00,5,0.32352,0.07098093224823471,1.8485470434448885,0.7591136901013116,0.47333029339075844,0.6272
RN50,openai,shot_noise,stability_loco,p06,5,0.3412,0.09098490721553558,1.830699523699255,0.7631690328476377,0.47396528893816237,0.6092
RN50,openai,shot_noise,clean_selected,p04,5,0.33302,0.05041303920000786,1.7750622881334377,0.7489517492701802,0.4823894112741697,0.6199
RN50,openai,shot_noise,oracle_upper_bound,p10,5,0.35252,0.05281406643509863,1.746522791771784,0.7370783270610628,0.45777122683638566,0.5964
RN50,openai,shot_noise,probability_ensemble,ensemble,5,0.34553999999999996,0.053618165733516174,1.7915274494828615,0.7473671650455861,0.4661056865349405,0.6018749999999999
RN50,openai,snow,default,p00,5,0.5600400000000001,0.05734904803991314,1.2279386896817868,0.5538225576602981,0.21744135238054688,0.358475
RN50,openai,snow,stability_loco,p10,5,0.5754199999999999,0.0949620862497389,1.2245674647019342,0.552899675057765,0.21113109215339368,0.346525
RN50,openai,snow,clean_selected,p04,5,0.57462,0.07741399124383921,1.2014263376274699,0.5469356141596942,0.21160639379165658,0.34865
RN50,openai,snow,oracle_upper_bound,p04,5,0.57462,0.07741399124383921,1.2014263376274699,0.5469356141596942,0.21160639379165658,0.34865
RN50,openai,snow,probability_ensemble,ensemble,5,0.5693600000000001,0.1056820129334926,1.2365909614681143,0.5581791139364367,0.21457329113276166,0.352325
RN50,openai,zoom_blur,default,p00,5,0.48512000000000005,0.02788784278243776,1.3925348574156153,0.6266617837060522,0.29925538351378395,0.44677500000000003
RN50,openai,zoom_blur,stability_loco,p10,5,0.49394,0.05498820030599827,1.395611531026485,0.6254933013673875,0.29212308249870506,0.440175
RN50,openai,zoom_blur,clean_selected,p04,5,0.49294000000000004,0.037593339639902086,1.3806970463240824,0.6237301636272268,0.2989275348624914,0.44139999999999996
RN50,openai,zoom_blur,oracle_upper_bound,p06,5,0.5423800000000001,0.19342564386606215,1.4761006213133037,0.6469448923368868,0.2660620338634734,0.3912
RN50,openai,zoom_blur,probability_ensemble,ensemble,5,0.45936000000000005,0.04771199363857502,1.4369477632794756,0.6457790506835874,0.32470531008363,0.47540000000000004
ViT-B-32,openai,brightness,default,p00,5,0.8573600000000001,0.051777209265232035,0.4455989663914243,0.20640241422828254,0.028510290678128037,0.055975
ViT-B-32,openai,brightness,stability_loco,p03,5,0.8676600000000001,0.06346230577319859,0.42870815836683784,0.1979796938571886,0.026125908351156902,0.05184999999999999
ViT-B-32,openai,brightness,clean_selected,p03,5,0.8676600000000001,0.06346230577319859,0.42870815836683784,0.1979796938571886,0.026125908351156902,0.05184999999999999
ViT-B-32,openai,brightness,oracle_upper_bound,p03,5,0.8676600000000001,0.06346230577319859,0.42870815836683784,0.1979796938571886,0.026125908351156902,0.05184999999999999
ViT-B-32,openai,brightness,probability_ensemble,ensemble,5,0.8735799999999999,0.11442792861074205,0.4648980087509516,0.20487729043009617,0.02567527593229086,0.049975
ViT-B-32,openai,contrast,default,p00,5,0.8030200000000001,0.06444884727925057,0.6083335804774328,0.2749035421224931,0.052619029668488936,0.10315
ViT-B-32,openai,contrast,stability_loco,p03,5,0.8162,0.07966132900804275,0.5842550024119401,0.2660950682919491,0.051121407567468816,0.099375
ViT-B-32,openai,contrast,clean_selected,p03,5,0.8162,0.07966132900804275,0.5842550024119401,0.2660950682919491,0.051121407567468816,0.099375
ViT-B-32,openai,contrast,oracle_upper_bound,p03,5,0.8162,0.07966132900804275,0.5842550024119401,0.2660950682919491,0.051121407567468816,0.099375
ViT-B-32,openai,contrast,probability_ensemble,ensemble,5,0.82288,0.13189745841726658,0.6297479859325387,0.2762935235801872,0.05004205272100211,0.094775
