model,pretrained,policy,accuracy_mean,accuracy_std,ece_mean,ece_std,nll_mean,nll_std,brier_mean,brier_std,aurc_mean,aurc_std,risk_at_80_mean,risk_at_80_std
RN50,openai,clean_selected,0.47828400000000004,0.12079781270489012,0.06686192404413219,0.01507118000408629,1.4314444342643406,0.31499995123096175,0.6276092366863967,0.11097114088782892,0.3240954773775325,0.13613198830097933,0.4577233333333333,0.13715104761938654
RN50,openai,default,0.47290800000000005,0.11516931282743181,0.061644988498508885,0.01683761213889372,1.4452261848244112,0.31253488647826283,0.6305818533471149,0.10794518743617273,0.3204971782680252,0.1274052968843453,0.4594,0.13184957337814937
RN50,openai,oracle_upper_bound,0.5026186666666667,0.1196133457596163,0.12360235250787929,0.05733200591049234,1.463426145892227,0.2788989455382909,0.6348242528172258,0.09985109666529021,0.30600634359461193,0.12905556591425402,0.43152666666666667,0.13327425183575767
RN50,openai,probability_ensemble,0.47044933333333333,0.11761717825620702,0.08351171581955746,0.022191119365307935,1.4622316928455015,0.3037142160293804,0.637190281562702,0.10597001925475526,0.32867803922503874,0.1320263814184943,0.46406833333333336,0.13278022270529097
RN50,openai,stability_loco,0.4831826666666667,0.11814215453467589,0.08095355198880032,0.017718819384853063,1.4423392245312645,0.30298241979512075,0.6296982748226172,0.10893154914449427,0.31591885774069334,0.130803015528847,0.45022,0.1336488700449267
ViT-B-32,openai,clean_selected,0.7201626666666667,0.10731231985369136,0.05199216160380835,0.014455989252969906,0.828900213377668,0.29351582177915786,0.37261932581621304,0.1214233245463877,0.10994171553103159,0.07333074484471362,0.19227166666666665,0.10967106739614382
ViT-B-32,openai,default,0.707336,0.11018146984471966,0.04203076263991987,0.01138774418057835,0.8564698943552761,0.29845937778540504,0.38308962432291466,0.12424455313762085,0.11567994364926856,0.07926178169329795,0.20180333333333333,0.11665306539764252
ViT-B-32,openai,oracle_upper_bound,0.7251506666666666,0.10650352478852969,0.061194040643960196,0.018644497494486944,0.8256394959053197,0.29057770466603955,0.3702262639003322,0.12050928517613527,0.10780620237875348,0.07276812878388399,0.18858833333333333,0.10889182208350941
ViT-B-32,openai,probability_ensemble,0.7264533333333334,0.10881562011472609,0.0992128802183568,0.021463831129534247,0.8552508198809864,0.2855327461320673,0.37728030067233637,0.12027879562653304,0.1087776454915592,0.07452261835993361,0.18850333333333333,0.11069982371367218
ViT-B-32,openai,stability_loco,0.7201626666666667,0.10731231985369136,0.05199216160380835,0.014455989252969906,0.828900213377668,0.29351582177915786,0.37261932581621304,0.1214233245463877,0.10994171553103159,0.07333074484471362,0.19227166666666665,0.10967106739614382
