model,pretrained,prompt_id,prompt_template,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,ece_mean,ece_std,ece_min,ece_max,nll_mean,nll_std,nll_min,nll_max,brier_mean,brier_std,brier_min,brier_max,aurc_mean,aurc_std,aurc_min,aurc_max,risk_at_80_mean,risk_at_80_std,risk_at_80_min,risk_at_80_max
RN50,openai,p00,a photo of a {label}.,0.472908,0.14603499003154521,0.1661,0.7054,0.06164498849850889,0.023090665584394748,0.0195761396557092,0.1221468306019902,1.4452261848244112,0.3893870230242365,0.8462024238812088,2.28012399306077,0.6305818533471149,0.13668935380368719,0.3984794243914029,0.880221941996352,0.32049717826802526,0.16358695132079595,0.1029389305187532,0.6969440261252101,0.4594,0.16721754118836066,0.200125,0.812
RN50,openai,p01,a photograph depicting {label}.,0.43870000000000003,0.14773392627617046,0.1685,0.6884,0.07115823993599411,0.050174825800152034,0.0132115186393261,0.2304166691407561,1.606581748677977,0.4791413793893149,0.8973209958300756,2.694947561063931,0.6835735832773775,0.1503496588689651,0.4219868099014764,0.9575104475919738,0.38094167430103215,0.18094041441767095,0.1205033548188107,0.7642274743471899,0.5032316666666667,0.1693254424025516,0.22175,0.817625
RN50,openai,p02,an image of the object {label}.,0.46391999999999994,0.14832920016511125,0.1495,0.6975,0.07479414755216236,0.028468838572216968,0.0184501415729522,0.1284369394078851,1.5238785548697926,0.41478414497940536,0.907667523187123,2.5032358784076347,0.6494085682944435,0.13549558934479394,0.4200608374764955,0.9217090541992712,0.3379881019832954,0.17275342544211278,0.1104523555822347,0.7707449290051857,0.47177166666666664,0.16775997293497683,0.2155,0.828375
RN50,openai,p03,a picture showing {label}.,0.450124,0.15183192506936832,0.1315,0.6965,0.06642431585274136,0.04384519711270014,0.0113664553523063,0.1936586025983095,1.4903532037117444,0.42467779869295524,0.8580401822691285,2.44741235332736,0.6496000244100705,0.1437329583929889,0.4071360592710983,0.9276316192613074,0.3475921652824514,0.17724896893417025,0.1103686807827436,0.7653179829559716,0.48627,0.17307810009677166,0.211125,0.8475
RN50,openai,p04,this image shows {label}.,0.478284,0.1533538850660943,0.1503,0.7193,0.0668619240441322,0.02658657550045807,0.0181297456502914,0.1343577061042189,1.4314444342643406,0.39760855075579404,0.830237221587565,2.321546337234937,0.6276092366863967,0.14094372735607724,0.390053887550124,0.8943897882624784,0.32409547737753247,0.17442943892035856,0.0980080107991219,0.7334608723868894,0.45772333333333337,0.17434002154909453,0.193875,0.829625
RN50,openai,p05,the main subject in this image is {label}.,0.4882053333333333,0.1508278057859299,0.1792,0.7264,0.09857790353988603,0.04443005453570705,0.0153223205462098,0.1730416222974657,1.4535187460374588,0.3645529878704564,0.8824975843675271,2.2248684426641865,0.6338132988712133,0.13052575439171712,0.4064678437809361,0.8736391319059381,0.3216193448440503,0.16601969311683057,0.0985719989686504,0.7055095263007225,0.45044,0.16900602245186405,0.191125,0.795625
RN50,openai,p06,the object depicted here is {label}.,0.5006973333333333,0.1546784869240617,0.1474,0.7231,0.1529203180829783,0.05826964487624062,0.0459460485763847,0.2270233928218483,1.513535354377749,0.3443538442435196,0.9793604932731182,2.240467090949209,0.652234951166896,0.12358336791908463,0.4408788574364047,0.8862283373466017,0.3148623800996745,0.17019224695091642,0.1026295760090186,0.7639805551615092,0.4332983333333333,0.17346782805608507,0.189875,0.83925
RN50,openai,p07,a visual representation of {label}.,0.41414,0.1439595006862619,0.1326,0.655,0.07181883140066261,0.0442034355632476,0.0200981850460171,0.1982925954028964,1.5582502482844645,0.3861079892874111,0.97186902990978,2.427174951535276,0.6789589819290514,0.1304385100988534,0.4555484034446452,0.934640033608749,0.3877290191081453,0.17852906908890914,0.138717955522129,0.776828752697819,0.5278433333333333,0.16660967252414732,0.253875,0.850625
RN50,openai,p08,an example image of the class {label}.,0.439492,0.15479444675422294,0.1383,0.6875,0.07780626942028597,0.04098375659263524,0.0213259777903556,0.2555195778861642,1.6258529822179546,0.5046884545622105,0.8970644280120811,2.777659310109964,0.6715215439440152,0.1489871674312022,0.4202945687448693,0.9446224321446348,0.3632336408162891,0.18326230384959355,0.1174465499669392,0.7835564635179139,0.49601833333333334,0.17570878867544673,0.221875,0.83725
RN50,openai,p09,this picture contains {label}.,0.42670800000000003,0.15704160041039905,0.1253,0.6893,0.09452076440803205,0.0509436964969542,0.0243296012356877,0.2372649160847067,1.5518009527909664,0.4277106659959406,0.8988826037412576,2.5082275119062905,0.6686312764394019,0.14523596874732067,0.4199890354259,0.943550414707519,0.37119420430005506,0.19148119895196958,0.1144373492646022,0.7902747526969263,0.5124716666666667,0.18149856508317708,0.218875,0.86375
