model,pretrained,sd_weight_alpha,ece_weight_beta,selected_prompt_id,selected_is_pareto,mean_accuracy,sd_accuracy,mean_ece,stability_score
RN50,openai,0.0,0.0,p06,True,0.5006973333333333,0.1546784869240617,0.1529203180829783,0.5006973333333333
RN50,openai,0.0,0.1,p06,True,0.5006973333333333,0.1546784869240617,0.1529203180829783,0.48540530152503547
RN50,openai,0.0,0.2,p06,True,0.5006973333333333,0.1546784869240617,0.1529203180829783,0.47011326971673767
RN50,openai,0.0,0.5,p10,True,0.48490933333333336,0.1498513372983041,0.07737190055370327,0.44622338305648174
RN50,openai,0.0,1.0,p04,True,0.478284,0.1533538850660943,0.0668619240441322,0.41142207595586777
RN50,openai,0.25,0.0,p06,True,0.5006973333333333,0.1546784869240617,0.1529203180829783,0.4620277116023179
RN50,openai,0.25,0.1,p06,True,0.5006973333333333,0.1546784869240617,0.1529203180829783,0.44673567979402007
RN50,openai,0.25,0.2,p10,True,0.48490933333333336,0.1498513372983041,0.07737190055370327,0.4319721188980167
RN50,openai,0.25,0.5,p10,True,0.48490933333333336,0.1498513372983041,0.07737190055370327,0.4087605487319057
RN50,openai,0.25,1.0,p00,True,0.472908,0.14603499003154521,0.06164498849850889,0.3747542639936048
RN50,openai,0.5,0.0,p06,True,0.5006973333333333,0.1546784869240617,0.1529203180829783,0.42335808987130247
RN50,openai,0.5,0.1,p06,True,0.5006973333333333,0.1546784869240617,0.1529203180829783,0.40806605806300467
RN50,openai,0.5,0.2,p10,True,0.48490933333333336,0.1498513372983041,0.07737190055370327,0.39450928457344064
RN50,openai,0.5,0.5,p10,True,0.48490933333333336,0.1498513372983041,0.07737190055370327,0.37129771440732967
RN50,openai,0.5,1.0,p00,True,0.472908,0.14603499003154521,0.06164498849850889,0.3382455164857185
RN50,openai,1.0,0.0,p06,True,0.5006973333333333,0.1546784869240617,0.1529203180829783,0.3460188464092716
RN50,openai,1.0,0.1,p06,True,0.5006973333333333,0.1546784869240617,0.1529203180829783,0.33072681460097375
RN50,openai,1.0,0.2,p10,True,0.48490933333333336,0.1498513372983041,0.07737190055370327,0.31958361592428863
RN50,openai,1.0,0.5,p10,True,0.48490933333333336,0.1498513372983041,0.07737190055370327,0.29637204575817766
RN50,openai,1.0,1.0,p00,True,0.472908,0.14603499003154521,0.06164498849850889,0.2652280214699459
ViT-B-32,openai,0.0,0.0,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.7201626666666666
ViT-B-32,openai,0.0,0.1,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.7149634505062857
ViT-B-32,openai,0.0,0.2,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.709764234345905
ViT-B-32,openai,0.0,0.5,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.6941665858647624
ViT-B-32,openai,0.0,1.0,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.6681705050628582
ViT-B-32,openai,0.25,0.0,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.6861026117027629
ViT-B-32,openai,0.25,0.1,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.680903395542382
ViT-B-32,openai,0.25,0.2,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.6757041793820012
ViT-B-32,openai,0.25,0.5,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.6601065309008587
ViT-B-32,openai,0.25,1.0,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.6341104500989545
ViT-B-32,openai,0.5,0.0,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.6520425567388591
ViT-B-32,openai,0.5,0.1,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.6468433405784783
ViT-B-32,openai,0.5,0.2,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.6416441244180975
ViT-B-32,openai,0.5,0.5,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.626046475936955
ViT-B-32,openai,0.5,1.0,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.6000503951350508
ViT-B-32,openai,1.0,0.0,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.5839224468110515
ViT-B-32,openai,1.0,0.1,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.5787232306506707
ViT-B-32,openai,1.0,0.2,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.5735240144902899
ViT-B-32,openai,1.0,0.5,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.5579263660091474
ViT-B-32,openai,1.0,1.0,p03,True,0.7201626666666666,0.13624021985561502,0.05199216160380835,0.5319302852072432
